"Path","LineNumber","MatchedLine","Context"
"C:\deploy\adminpanel\Admin Panel\Modules\AI\routes\api.php","19","Route::post('generate-title-and-description', [ProductAutoFillController::class, 'generateTitleAndDescription']);","|| Route::group(['prefix' => 'v1', 'as' => 'v1.','middleware' => ['apiKeyAuth']], function () { ||     Route::post('generate-title-and-description', [ProductAutoFillController::class, 'generateTitleAndDescription']); ||     Route::post('generate-variation-data', [ProductAutoFillController::class, 'generateVariationData']); ||     Route::post('generate-ingredients', [ProductAutoFillController::class, 'generateIngredients']); ||     Route::post('generate-addons', [ProductAutoFillController::class, 'generateAddons']); ||     Route::post('generate-specification', [ProductAutoFillController::class, 'generateSpecification']); ||     Route::post('generate-image-data', [ProductAutoFillController::class, 'generateImageData']); || });"
"C:\deploy\adminpanel\Admin Panel\Modules\AI\routes\api.php","20","Route::post('generate-variation-data', [ProductAutoFillController::class, 'generateVariationData']);","Route::group(['prefix' => 'v1', 'as' => 'v1.','middleware' => ['apiKeyAuth']], function () { ||     Route::post('generate-title-and-description', [ProductAutoFillController::class, 'generateTitleAndDescription']); ||     Route::post('generate-variation-data', [ProductAutoFillController::class, 'generateVariationData']); ||     Route::post('generate-ingredients', [ProductAutoFillController::class, 'generateIngredients']); ||     Route::post('generate-addons', [ProductAutoFillController::class, 'generateAddons']); ||     Route::post('generate-specification', [ProductAutoFillController::class, 'generateSpecification']); ||     Route::post('generate-image-data', [ProductAutoFillController::class, 'generateImageData']); || });"
"C:\deploy\adminpanel\Admin Panel\Modules\AI\routes\api.php","21","Route::post('generate-ingredients', [ProductAutoFillController::class, 'generateIngredients']);","Route::post('generate-title-and-description', [ProductAutoFillController::class, 'generateTitleAndDescription']); ||     Route::post('generate-variation-data', [ProductAutoFillController::class, 'generateVariationData']); ||     Route::post('generate-ingredients', [ProductAutoFillController::class, 'generateIngredients']); ||     Route::post('generate-addons', [ProductAutoFillController::class, 'generateAddons']); ||     Route::post('generate-specification', [ProductAutoFillController::class, 'generateSpecification']); ||     Route::post('generate-image-data', [ProductAutoFillController::class, 'generateImageData']); || });"
"C:\deploy\adminpanel\Admin Panel\Modules\AI\routes\api.php","22","Route::post('generate-addons', [ProductAutoFillController::class, 'generateAddons']);","Route::post('generate-variation-data', [ProductAutoFillController::class, 'generateVariationData']); ||     Route::post('generate-ingredients', [ProductAutoFillController::class, 'generateIngredients']); ||     Route::post('generate-addons', [ProductAutoFillController::class, 'generateAddons']); ||     Route::post('generate-specification', [ProductAutoFillController::class, 'generateSpecification']); ||     Route::post('generate-image-data', [ProductAutoFillController::class, 'generateImageData']); || });"
"C:\deploy\adminpanel\Admin Panel\Modules\AI\routes\api.php","23","Route::post('generate-specification', [ProductAutoFillController::class, 'generateSpecification']);","Route::post('generate-ingredients', [ProductAutoFillController::class, 'generateIngredients']); ||     Route::post('generate-addons', [ProductAutoFillController::class, 'generateAddons']); ||     Route::post('generate-specification', [ProductAutoFillController::class, 'generateSpecification']); ||     Route::post('generate-image-data', [ProductAutoFillController::class, 'generateImageData']); || });"
"C:\deploy\adminpanel\Admin Panel\Modules\AI\routes\api.php","24","Route::post('generate-image-data', [ProductAutoFillController::class, 'generateImageData']);","Route::post('generate-addons', [ProductAutoFillController::class, 'generateAddons']); ||     Route::post('generate-specification', [ProductAutoFillController::class, 'generateSpecification']); ||     Route::post('generate-image-data', [ProductAutoFillController::class, 'generateImageData']); || });"
"C:\deploy\adminpanel\Admin Panel\Modules\AI\routes\web.php","20","Route::post('analyze-image-auto-fill', [ProductAutoFillController::class, 'analyzeImageAutoFill'])->name('analyze-image-auto-fill');","Route::get('description-auto-fill', [ProductAutoFillController::class, 'descriptionAutoFill'])->name('description-auto-fill'); ||     Route::get('variation-setup-auto-fill', [ProductAutoFillController::class, 'variationSetupAutoFill'])->name('variation-setup-auto-fill'); ||     Route::post('analyze-image-auto-fill', [ProductAutoFillController::class, 'analyzeImageAutoFill'])->name('analyze-image-auto-fill'); ||     Route::post('generate-title-suggestions', [ProductAutoFillController::class, 'generateTitleSuggestions'])->name('generate-title-suggestions'); ||     Route::get('ingredients-auto-fill', [ProductAutoFillController::class, 'ingredientsAutoFill'])->name('ingredients-auto-fill'); ||     Route::get('addons-auto-fill', [ProductAutoFillController::class, 'addonsAutoFill'])->name('addons-auto-fill'); ||     Route::get('specification-auto-fill', [ProductAutoFillController::class, 'specificationAutoFill'])->name('specification-auto-fill'); || });"
"C:\deploy\adminpanel\Admin Panel\Modules\AI\routes\web.php","21","Route::post('generate-title-suggestions', [ProductAutoFillController::class, 'generateTitleSuggestions'])->name('generate-title-suggestions');","Route::get('variation-setup-auto-fill', [ProductAutoFillController::class, 'variationSetupAutoFill'])->name('variation-setup-auto-fill'); ||     Route::post('analyze-image-auto-fill', [ProductAutoFillController::class, 'analyzeImageAutoFill'])->name('analyze-image-auto-fill'); ||     Route::post('generate-title-suggestions', [ProductAutoFillController::class, 'generateTitleSuggestions'])->name('generate-title-suggestions'); ||     Route::get('ingredients-auto-fill', [ProductAutoFillController::class, 'ingredientsAutoFill'])->name('ingredients-auto-fill'); ||     Route::get('addons-auto-fill', [ProductAutoFillController::class, 'addonsAutoFill'])->name('addons-auto-fill'); ||     Route::get('specification-auto-fill', [ProductAutoFillController::class, 'specificationAutoFill'])->name('specification-auto-fill'); || });"
"C:\deploy\adminpanel\Admin Panel\routes\web.php","15","Route::post('payments/razorpay/createorder', [App\Http\Controllers\RazorPayController::class, 'createOrderid']);","|| Route::get('lang/change', [App\Http\Controllers\LangController::class, 'change'])->name('changeLang'); || Route::post('payments/razorpay/createorder', [App\Http\Controllers\RazorPayController::class, 'createOrderid']); || Route::post('payments/getpaytmchecksum', [App\Http\Controllers\PaymentController::class, 'getPaytmChecksum']); || Route::post('payments/validatechecksum', [App\Http\Controllers\PaymentController::class, 'validateChecksum']); || Route::post('payments/initiatepaytmpayment', [App\Http\Controllers\PaymentController::class, 'initiatePaytmPayment']); || Route::get('payments/paytmpaymentcallback', [App\Http\Controllers\PaymentController::class, 'paytmPaymentcallback']); || Route::post('payments/paypalclientid', [App\Http\Controllers\PaymentController::class, 'getPaypalClienttoken']); || Route::post('payments/paypaltransaction', [App\Http\Controllers\PaymentController::class, 'createBraintreePayment']); || Route::post('payments/stripepaymentintent', [App\Http\Controllers\PaymentController::class, 'createStripePaymentIntent']); ||"
"C:\deploy\adminpanel\Admin Panel\routes\web.php","16","Route::post('payments/getpaytmchecksum', [App\Http\Controllers\PaymentController::class, 'getPaytmChecksum']);","Route::get('lang/change', [App\Http\Controllers\LangController::class, 'change'])->name('changeLang'); || Route::post('payments/razorpay/createorder', [App\Http\Controllers\RazorPayController::class, 'createOrderid']); || Route::post('payments/getpaytmchecksum', [App\Http\Controllers\PaymentController::class, 'getPaytmChecksum']); || Route::post('payments/validatechecksum', [App\Http\Controllers\PaymentController::class, 'validateChecksum']); || Route::post('payments/initiatepaytmpayment', [App\Http\Controllers\PaymentController::class, 'initiatePaytmPayment']); || Route::get('payments/paytmpaymentcallback', [App\Http\Controllers\PaymentController::class, 'paytmPaymentcallback']); || Route::post('payments/paypalclientid', [App\Http\Controllers\PaymentController::class, 'getPaypalClienttoken']); || Route::post('payments/paypaltransaction', [App\Http\Controllers\PaymentController::class, 'createBraintreePayment']); || Route::post('payments/stripepaymentintent', [App\Http\Controllers\PaymentController::class, 'createStripePaymentIntent']); ||  || Auth::routes();"
